Callsign,Station Name,State,City,Postcode,Community of Interest,Suitability for Love Banana,Music Receptive,Submission Method,Contact Email,Website / Portal URL,Recommended Action,Notes
2RDJ,2RDJ FM,NSW,BURWOOD NORTH,2134,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,info@radio2rdj.com,http://www.radio2rdj.com,Pitch directly to Music Department (info@radio2rdj.com),Pitch directly to Programming & Music (info@radio2rdj.com) — Inner West Sydney local station.
2SER,2SER,NSW,BROADWAY,2007,Educational,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@2ser.com,http://www.2ser.com,Pitch directly to Music Department (music@2ser.com),Pitch directly to Music Department (music@2ser.com) — UTS / Macquarie station. Huge supporter of Sydney indie and Australian underground. Already played earlier Love Banana material.
2SSR,2SSR 99.7 FM,NSW,SUTHERLAND,1499,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@2ssr.com.au,https://www.2ssr.com.au,Pitch directly to Music Department (music@2ssr.com.au),Pitch directly to Music Director (music@2ssr.com.au) — The Shire / Sutherland Shire community radio station. Regular Australian music focus.
2GLF,89.3 2GLF,NSW,LIVERPOOL,2170,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@893fm.com.au,http://www.893fm.com.au,Pitch directly to Music Department (music@893fm.com.au),Pitch directly to Music Department (music@893fm.com.au) — South-West Sydney community broadcaster. Welcomes music from independent Sydney artists.
2RES,89.7 Eastside Radio,NSW,PADDINGTON,2021,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@eastsidefm.org,http://www.eastsidefm.org,Pitch directly to Music Department (music@eastsidefm.org),Pitch directly to Music Coordinator (music@eastsidefm.org) — Eastern suburbs Sydney station. Plays eclectic local sounds and supports independent Sydney songwriters.
Connect FM 100.9,Connect FM 100.9,NSW,PADSTOW,2211,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,info@connectfm.au,https://www.connectfm.au/,Pitch directly to Music Department (info@connectfm.au),Pitch directly to Station Management (info@connectfm.au) — Canterbury-Bankstown community broadcaster.
2LND,Koori Radio,NSW,STRAWBERRY HILLS,2012,Indigenous,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@kooriradio.com,http://www.kooriradio.com/,Pitch directly to Music Department (music@kooriradio.com),Pitch directly to Music Department (music@kooriradio.com) — Sydney's only First Nations broadcaster based in Redfern. Plays diverse local Australian artists.
2NSB,Northside Radio,NSW,CHATSWOOD,2067,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@northsideradio.com.au,http://northsideradio.com.au/,Pitch directly to Music Department (music@northsideradio.com.au),Pitch directly to Music Coordinator (music@northsideradio.com.au) — Northern suburbs Sydney station covering Chatswood to the Hawkesbury.
2MWM,Radio Northern Beaches,NSW,BELROSE WEST,2085,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@rnb.org.au,http://www.rnb.org.au,Pitch directly to Music Department (music@rnb.org.au),Pitch directly to Music Submissions Team (music@rnb.org.au) — Northern Beaches Sydney station. Surf/garage rock sound is a natural match for local presenters.
2RSR,Radio Skid Row,NSW,MARRICKVILLE,2204,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,stationmanager@skidrow.com.au,https://radioskidrow.org,Pitch directly to Music Department (stationmanager@skidrow.com.au),Pitch directly to Station & Programming Coordinator (stationmanager@skidrow.com.au) — Inner-West Sydney community powerhouse based in Marrickville. Deep connection to DIY and local grassroots indie music.
Online Only,SURG FM,NSW,SYDNEY,2006,Student / Youth,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@surgfm.com,http://www.surgfm.com/,Pitch directly to Music Department (music@surgfm.com),Pitch directly to Music Director (music@surgfm.com) — Sydney University student broadcaster. Huge listener base among young indie/garage fans in Sydney.
2SWR,SWR 999 FM,NSW,DOONSIDE,2767,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@swr999.com.au,https://www.swr999.com.au/,Pitch directly to Music Department (music@swr999.com.au),Pitch directly to Music Director (music@swr999.com.au) — Western Sydney community radio with dedicated Aussie music programs.
2HHH,Triple H 100.1 FM,NSW,Hornsby,2077,General,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@triplehfm.com.au,http://www.triplehfm.com.au,Pitch directly to Music Department (music@triplehfm.com.au),Pitch directly to Music Team (music@triplehfm.com.au) — Community station in Northern Sydney. Has several specialist alternative and Aussie rock shows.
2FBI,fbi.radio,NSW,ALEXANDRIA,2016,Youth,High Priority (Sydney Local),Yes (Direct Email),Direct Email Pitch,music@fbiradio.com,http://fbi.radio,Pitch directly to Music Department (music@fbiradio.com),"Pitch directly to Music Director / Music Team (music@fbiradio.com) — Primary Sydney indie/youth champion. Loves local Sydney bands. Mention Sydney gigs (Ty Segall, Babe Rainbow) and Mikey Young mastering."
5TCB,Connect FM,SA,BORDERTOWN,5268,General,Regional Community Radio (SA),Yes (Direct Email),Direct Email Pitch,info@connectfm.com.au,http://www.connectfm.com.au,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie),Format: General. Community broadcaster for BORDERTOWN SA.
Online Only,UCFM,ACT,BRUCE,2617,Student / Youth,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@ucfm.com.au,http://www.ucfm.com.au/,Pitch directly to Music Department (info@ucfm.com.au),Pitch directly to Music Submissions (info@ucfm.com.au) — University of Canberra student radio station.
1VFM,Valley FM 89.5,ACT,ERINDALE CENTRE,2903,General,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,valleyfm@valleyfm.com,http://www.valleyfm.com/,Pitch directly to Music Department (valleyfm@valleyfm.com),Pitch directly to Music Coordinator (valleyfm@valleyfm.com) — Tuggeranong Canberra community station.
2CHY,104.1 CHY FM,NSW,COFFS HARBOUR,2450,Youth,High Priority (Australia National (High Priority)),Yes (Direct Email),Direct Email Pitch,info@chyfm.org.au,https://www.chyfm.org.au,Pitch directly to Music Department (info@chyfm.org.au),Pitch directly to Station Manager / Music Team (info@chyfm.org.au) — Dedicated youth community radio station in Coffs Harbour. Perfect demographic for Love Banana.
