Callsign,Station Name,State,City,Postcode,Region / Pitch Category,Contact Email,Website URL,Format & Fit,Recommended Action / Pitch Notes
2RDJ,2RDJ FM,NSW,BURWOOD NORTH,2134,Sydney Local,info@radio2rdj.com,http://www.radio2rdj.com,General,Pitch directly to Music Department (info@radio2rdj.com) — Pitch directly to Programming & Music (info@radio2rdj.com) — Inner West Sydney local station.
2SER,2SER,NSW,BROADWAY,2007,Sydney Local,music@2ser.com,http://www.2ser.com,Educational,Pitch directly to Music Department (music@2ser.com) — Pitch directly to Music Department (music@2ser.com) — UTS / Macquarie station. Huge supporter of Sydney indie and Australian underground. Already played earlier Love Banana material.
2SSR,2SSR 99.7 FM,NSW,SUTHERLAND,1499,Sydney Local,music@2ssr.com.au,https://www.2ssr.com.au,General,Pitch directly to Music Department (music@2ssr.com.au) — Pitch directly to Music Director (music@2ssr.com.au) — The Shire / Sutherland Shire community radio station. Regular Australian music focus.
2GLF,89.3 2GLF,NSW,LIVERPOOL,2170,Sydney Local,music@893fm.com.au,http://www.893fm.com.au,General,Pitch directly to Music Department (music@893fm.com.au) — Pitch directly to Music Department (music@893fm.com.au) — South-West Sydney community broadcaster. Welcomes music from independent Sydney artists.
2RES,89.7 Eastside Radio,NSW,PADDINGTON,2021,Sydney Local,music@eastsidefm.org,http://www.eastsidefm.org,General,Pitch directly to Music Department (music@eastsidefm.org) — Pitch directly to Music Coordinator (music@eastsidefm.org) — Eastern suburbs Sydney station. Plays eclectic local sounds and supports independent Sydney songwriters.
Connect FM 100.9,Connect FM 100.9,NSW,PADSTOW,2211,Sydney Local,info@connectfm.au,https://www.connectfm.au/,General,Pitch directly to Music Department (info@connectfm.au) — Pitch directly to Station Management (info@connectfm.au) — Canterbury-Bankstown community broadcaster.
2LND,Koori Radio,NSW,STRAWBERRY HILLS,2012,Sydney Local,music@kooriradio.com,http://www.kooriradio.com/,Indigenous,Pitch directly to Music Department (music@kooriradio.com) — Pitch directly to Music Department (music@kooriradio.com) — Sydney's only First Nations broadcaster based in Redfern. Plays diverse local Australian artists.
2NSB,Northside Radio,NSW,CHATSWOOD,2067,Sydney Local,music@northsideradio.com.au,http://northsideradio.com.au/,General,Pitch directly to Music Department (music@northsideradio.com.au) — Pitch directly to Music Coordinator (music@northsideradio.com.au) — Northern suburbs Sydney station covering Chatswood to the Hawkesbury.
2MWM,Radio Northern Beaches,NSW,BELROSE WEST,2085,Sydney Local,music@rnb.org.au,http://www.rnb.org.au,General,Pitch directly to Music Department (music@rnb.org.au) — Pitch directly to Music Submissions Team (music@rnb.org.au) — Northern Beaches Sydney station. Surf/garage rock sound is a natural match for local presenters.
2RSR,Radio Skid Row,NSW,MARRICKVILLE,2204,Sydney Local,stationmanager@skidrow.com.au,https://radioskidrow.org,General,Pitch directly to Music Department (stationmanager@skidrow.com.au) — Pitch directly to Station & Programming Coordinator (stationmanager@skidrow.com.au) — Inner-West Sydney community powerhouse based in Marrickville. Deep connection to DIY and local grassroots indie music.
Online Only,SURG FM,NSW,SYDNEY,2006,Sydney Local,music@surgfm.com,http://www.surgfm.com/,Student / Youth,Pitch directly to Music Department (music@surgfm.com) — Pitch directly to Music Director (music@surgfm.com) — Sydney University student broadcaster. Huge listener base among young indie/garage fans in Sydney.
2SWR,SWR 999 FM,NSW,DOONSIDE,2767,Sydney Local,music@swr999.com.au,https://www.swr999.com.au/,General,Pitch directly to Music Department (music@swr999.com.au) — Pitch directly to Music Director (music@swr999.com.au) — Western Sydney community radio with dedicated Aussie music programs.
2HHH,Triple H 100.1 FM,NSW,Hornsby,2077,Sydney Local,music@triplehfm.com.au,http://www.triplehfm.com.au,General,Pitch directly to Music Department (music@triplehfm.com.au) — Pitch directly to Music Team (music@triplehfm.com.au) — Community station in Northern Sydney. Has several specialist alternative and Aussie rock shows.
2FBI,fbi.radio,NSW,ALEXANDRIA,2016,Sydney Local,music@fbiradio.com,http://fbi.radio,Youth,"Pitch directly to Music Department (music@fbiradio.com) — Pitch directly to Music Director / Music Team (music@fbiradio.com) — Primary Sydney indie/youth champion. Loves local Sydney bands. Mention Sydney gigs (Ty Segall, Babe Rainbow) and Mikey Young mastering."
5TCB,Connect FM,SA,BORDERTOWN,5268,Regional Community (SA),info@connectfm.com.au,http://www.connectfm.com.au,General,Pitch via Email or Amrap (Local volunteer DJs play Aussie indie) — Format: General. Community broadcaster for BORDERTOWN SA.
Online Only,UCFM,ACT,BRUCE,2617,Australia National (High Priority),info@ucfm.com.au,http://www.ucfm.com.au/,Student / Youth,Pitch directly to Music Department (info@ucfm.com.au) — Pitch directly to Music Submissions (info@ucfm.com.au) — University of Canberra student radio station.
1VFM,Valley FM 89.5,ACT,ERINDALE CENTRE,2903,Australia National (High Priority),valleyfm@valleyfm.com,http://www.valleyfm.com/,General,Pitch directly to Music Department (valleyfm@valleyfm.com) — Pitch directly to Music Coordinator (valleyfm@valleyfm.com) — Tuggeranong Canberra community station.
2CHY,104.1 CHY FM,NSW,COFFS HARBOUR,2450,Australia National (High Priority),info@chyfm.org.au,https://www.chyfm.org.au,Youth,Pitch directly to Music Department (info@chyfm.org.au) — Pitch directly to Station Manager / Music Team (info@chyfm.org.au) — Dedicated youth community radio station in Coffs Harbour. Perfect demographic for Love Banana.
2AAA,2AAA,NSW,WAGGA WAGGA,2650,Australia National (High Priority),triplea@tripleafm.net.au,https://tripleafm.net.au/,General,Pitch directly to Music Department (triplea@tripleafm.net.au) — Pitch directly to Music Coordinator (triplea@tripleafm.net.au) — Riverina community radio.
2BBB,2BBB FM,NSW,BELLINGEN,2454,Australia National (High Priority),music@2bbb.net.au,http://www.2bbb.net.au/,General,Pitch directly to Music Department (music@2bbb.net.au) — Pitch directly to Music Director (music@2bbb.net.au) — Bellingen Mid North Coast community radio. Very receptive to indie bands touring the east coast.
2BOB,2BOB RADIO,NSW,TAREE,2430,Australia National (High Priority),info@2bobradio.org.au,http://www.2bobradio.org.au,General,Pitch directly to Music Department (info@2bobradio.org.au) — Pitch directly to Music Team (info@2bobradio.org.au) — One of NSW's oldest community radio stations. Proudly independent.
2DRY,2DRY FM,NSW,BROKEN HILL,2880,Australia National (High Priority),info@2dryfm.com,http://www.2dryfm.com/,General,Pitch directly to Music Department (info@2dryfm.com) — Pitch directly to Music Coordinator / Program Director (info@2dryfm.com) — Far West NSW community station with an adventurous alternative music policy.
2EAR,2EAR FM 107.5 & 102.9,NSW,MORUYA,2537,Australia National (High Priority),info@2earfm.au,https://2earfm.au/,General,Pitch directly to Music Department (info@2earfm.au) — Pitch directly to Music Coordinator (info@2earfm.au) — Eurobodalla South Coast community station.
2MCE,2MCE,NSW,BATHURST,2795,Australia National (High Priority),2mce@csu.edu.au,https://2mce.org/,General,Pitch directly to Music Department (2mce@csu.edu.au) — Pitch directly to Music Director / Station Team (2mce@csu.edu.au) — Charles Sturt University station broadcasting to Central West NSW. Great indie programming.
2NUR,2NURFM 103.7,NSW,CALLAGHAN,2308,Australia National (High Priority),music@2nurfm.com.au,http://www.2nurfm.com.au,General,Pitch directly to Music Department (music@2nurfm.com.au) — Pitch directly to Music Coordinator (music@2nurfm.com.au) — University of Newcastle community station. Big reach across Newcastle and the Hunter.
2WAY,2WAY 103.9 FM,NSW,WAUCHOPE,2446,Australia National (High Priority),contact@2wayfm.com.au,http://2wayfm.com.au,General,Pitch directly to Music Department (contact@2wayfm.com.au) — Pitch directly to Music Submissions (contact@2wayfm.com.au) — Hastings / Port Macquarie community radio.
2YOU,88.9FM,NSW,North Tamworth,2340,Australia National (High Priority),admin@889fmtamworth.com.au,http://www.889fmtamworth.com.au,General,Pitch directly to Music Department (admin@889fmtamworth.com.au) — Pitch directly to Music Submissions (admin@889fmtamworth.com.au) — Tamworth community broadcaster.
2SFM,97.5 Sapphire FM,NSW,MERIMBULA,2548,Australia National (High Priority),info@sapphirefm.au,https://sapphirefm.au/,General,Pitch directly to Music Department (info@sapphirefm.au) — Pitch directly to Music Director (info@sapphirefm.au) — Far South Coast NSW community radio.
2ARM,Armidale Community Radio - 2ARM FM92.1,NSW,ARMIDALE,2350,Australia National (High Priority),admin@2arm.net.au,http://www.2arm.net.au,General,Pitch directly to Music Department (admin@2arm.net.au) — Pitch directly to Station Management (admin@2arm.net.au) — New England community broadcaster.
2CCC,Coast FM 96.3,NSW,GOSFORD,2250,Australia National (High Priority),music@coastfm.org.au,http://www.coastfm.org.au,General,Pitch directly to Music Department (music@coastfm.org.au) — Pitch directly to Music Department (music@coastfm.org.au) — Central Coast community broadcaster. Supports touring NSW bands.
2GLA,Great Lakes FM,NSW,TUNCURRY,2428,Australia National (High Priority),manager@greatlakesfm.org.au,http://www.greatlakesfm.org.au,General,Pitch directly to Music Department (manager@greatlakesfm.org.au) — Pitch directly to Station Management (manager@greatlakesfm.org.au) — Mid North Coast regional broadcaster.
2WKT,Highland FM 107.1,NSW,BOWRAL,2576,Australia National (High Priority),music@highlandfm.org.au,http://www.highlandfm.org.au,General,Pitch directly to Music Department (music@highlandfm.org.au) — Pitch directly to Music Director (music@highlandfm.org.au) — Known for their 100% Homegrown Australian music showcases and artist interviews.
2NIM,NIM FM 102.3,NSW,NIMBIN,2480,Australia National (High Priority),nimfm.radio@gmail.com,http://www.nimfm.org,General,Pitch directly to Music Department (nimfm.radio@gmail.com) — Pitch directly to Music Team (nimfm.radio@gmail.com) — Nimbin community radio. Very open to fuzzy garage and psych-pop sounds.
2HWK,Pulse FM,NSW,Wollongong,2500,Australia National (High Priority),info@pulse899fm.com.au,https://pulse899fm.com.au/,General,Pitch directly to Music Department (info@pulse899fm.com.au) — Pitch directly to Music Submissions (info@pulse899fm.com.au) — Wollongong youth/contemporary station.
2QBN,QBN FM 96.7,NSW,QUEANBEYAN,2620,Australia National (High Priority),info@qbnfm.com.au,http://www.qbnfm.com.au,General,Pitch directly to Music Department (info@qbnfm.com.au) — Pitch directly to Music Submissions (info@qbnfm.com.au) — Queanbeyan and ACT region.
2BLU,RBM FM - 89.1 Radio Blue Mountains,NSW,WENTWORTH FALLS,2782,Australia National (High Priority),manager@rbm.org.au,http://www.rbm.org.au,General,Pitch directly to Music Department (manager@rbm.org.au) — Pitch directly to Station Coordinator (manager@rbm.org.au) — Blue Mountains regional station. Very supportive of NSW indie acts.
2NCR,River FM - 92.9,NSW,LISMORE,2480,Australia National (High Priority),info@2ncr.org.au,http://www.2ncr.org.au,General,Pitch directly to Music Department (info@2ncr.org.au) — Pitch directly to Station Team (info@2ncr.org.au) — Northern Rivers community radio station.
2WET,TANK FM,NSW,WEST KEMPSEY,2440,Australia National (High Priority),info@tankfm.org,https://tankfm.org/,General,Pitch directly to Music Department (info@tankfm.org) — Pitch directly to Music Team (info@tankfm.org) — Kempsey Macleay Valley community station.
2UUU,Triple U FM,NSW,NOWRA,2541,Australia National (High Priority),admin@tripleu.org.au,https://www.tripleu.org.au/,General,Pitch directly to Music Department (admin@tripleu.org.au) — Pitch directly to Station Administration (admin@tripleu.org.au) — Shoalhaven South Coast community radio.
Online Only,Tune FM,NSW,ARMIDALE,2351,Australia National (High Priority),music@tunefm.net,http://www.tunefm.net,Student / Youth,Pitch directly to Music Department (music@tunefm.net) — Pitch directly to Music Director (music@tunefm.net) — Australia's oldest university radio station (UNE). Passionate about new Aussie alternative music.
2VOX,VOX FM,NSW,WOLLONGONG DC,2500,Australia National (High Priority),voxfm@voxfm.org.au,http://www.voxfm.org.au,General,Pitch directly to Music Department (voxfm@voxfm.org.au) — Pitch directly to Music Submissions (voxfm@voxfm.org.au) — Illawarra community radio station. Active music programming.
2YAS,Yass FM,NSW,YASS,2582,Australia National (High Priority),info@yassfm.org,http://www.yassfm.org,General,Pitch directly to Music Department (info@yassfm.org) — Pitch directly to Music Coordinator (info@yassfm.org) — Southern Tablelands community broadcaster.
8CCC,8CCC Radio 102.1FM,NT,ALICE SPRINGS,0871,Australia National (High Priority),music@8ccc.com.au,http://www.8ccc.com.au/,General,"Pitch directly to Music Department (music@8ccc.com.au) — Pitch directly to Music Coordinator (music@8ccc.com.au) — Broadcasting across Central Australia. Hugely receptive to quirky, upbeat Australian independent rock and pop."
8EAR,Gove FM,NT,NHULUNBUY,0881,Australia National (High Priority),admin@govefm.com.au,http://www.govefm.com.au,General,Pitch directly to Music Department (admin@govefm.com.au) — Pitch directly to Station Management (admin@govefm.com.au) — Isolated Arnhem Land community radio with high engagement.
8TFM,Territory FM,NT,DARWIN,0909,Australia National (High Priority),music@territoryfm.com,http://www.territoryfm.com,General,Pitch directly to Music Department (music@territoryfm.com) — Pitch directly to Music Director (music@territoryfm.com) — Charles Darwin University community station. High profile across Darwin and Palmerston.
4OUR,101.5FM Moreton Bay's Own,QLD,CABOOLTURE,4510,Australia National (High Priority),music@1015fm.com.au,http://www.1015fm.com.au,General,Pitch directly to Music Department (music@1015fm.com.au) — Pitch directly to Music Coordinator (music@1015fm.com.au) — Caboolture and northern Moreton Bay.
4TTT,103.9 Triple t,QLD,TOWNSVILLE,4810,Australia National (High Priority),info@triplet.com.au,http://www.triplet.com.au,General,Pitch directly to Music Department (info@triplet.com.au) — Pitch directly to Station Management (info@triplet.com.au) — Townsville regional community radio.
